
"01-05-2014","22:34:46"
"TIME secs","Trpm NM","rpm","TTQ NM","Throt %","Brake %","kph","HVflags","VVTi","Cload %","HVch kW","HVdisch kW","HVVMF volts","auxbat","Drivecond"
1.059,0,0,0,0,0,0,64,17,0,24,105,0,12.2,0
2.446,0,0,0,0,0,0,64,17,0,24,105,0,12.2,0
3.821,0,0,0,0,0,0,64,17,0,24,105,0,12.2,0
5.511,0,0,0,0,0,0,64,17,0,24,105,0,12.2,0
6.901,0,0,0,0,0,0,64,17,0,24,105,0,12.2,0
8.43,0,0,0,0,0,0,64,17,0,24,105,0,12.2,0
10.161,0,0,0,0,0,0,64,17,0,24,105,0,12.2,0
11.95,0,0,0,0,0,0,64,17,0,24,105,0,12.2,0
14.053,0,0,0,0,0,0,64,17,0,24,105,0,12.2,0
15.381,0,0,0,0,0,0,64,17,0,24,105,0,12.2,0
17.418,0,0,0,0,0,0,64,17,0,24,105,0,12.2,0
19.211,0,0,0,0,0,0,64,17,0,24,105,0,12.2,0
20.865,0,0,0,0,0,0,64,17,0,24,105,0,12.2,0
