
"01-05-2014","22:34:46"
"TIME secs","Delta %","MG1 rpm","MG2 rpm","MG1 NM","MG2 NM","Target NM","Power NM","Power Req","Discharge Req","TRB NM","RB NM","MCT NM","Gas %","Target rpm","Shift","Shift$","evMode","EV$","Dimmer"
1.123,0,0,0,0,0,0,0,0,0,0,0,0,72.7273,0,128,"P",0,"          ",0
2.515,0,0,0,0,0,0,0,0,0,0,0,0,72.7273,0,128,"P",0,"          ",0
3.885,0,0,0,0,0,0,0,0,0,0,0,0,72.7273,0,128,"P",0,"          ",0
5.572,0,0,0,0,0,0,0,0,0,0,0,0,72.7273,0,128,"P",0,"          ",0
6.965,0,0,0,0,0,0,0,0,0,0,0,0,72.7273,0,128,"P",0,"          ",0
8.432,0,0,0,0,0,0,0,0,0,0,0,0,72.7273,0,128,"P",0,"          ",0
10.224,0,0,0,0,0,0,0,0,0,0,0,0,72.7273,0,128,"P",0,"          ",0
12.19,0,0,0,0,0,0,0,0,0,0,0,0,72.7273,0,128,"P",0,"          ",0
14.055,0,0,0,0,0,0,0,0,0,0,0,0,72.7273,0,128,"P",0,"          ",0
15.451,0,0,0,0,0,0,0,0,0,0,0,0,72.7273,0,128,"P",0,"          ",0
17.42,0,0,0,0,0,0,0,0,0,0,0,0,72.7273,0,128,"P",0,"          ",0
19.216,0,0,0,0,0,0,0,0,0,0,0,0,72.7273,0,128,"P",0,"          ",0
20.931,0,0,0,0,0,0,0,0,0,0,0,0,72.7273,0,128,"P",0,"          ",0
