
"01-05-2014","22:34:46"
"TIME secs","AH remain","Pack volts","Fuel Gauge %","SoC %","Discharge=1","Current Amps","Power Watts","Temperature oC","current","AHT","Dmax ","Cmax","volts","soc %"
1.281,27.9,232,62,69,1,0,0,26,0,29.4141,-105,125,224,74
2.673,27.9,232,62,69,1,0,0,26,0,29.4141,-105,125,224,74
4.044,27.9,232,62,69,1,0,0,26,0,29.4141,-105,125,224,74
5.734,27.9,232,62,69,1,0,0,26,0,29.4141,-105,125,224,74
7.148,27.9,232,62,69,1,0,0,26,0,29.4141,-105,125,224,74
8.593,27.9,232,62,69,1,0,0,26,0,29.4141,-105,125,224,74
10.384,27.9,232,62,69,1,0,0,26,0,29.4141,-105,125,224,74
12.197,27.9,232,62,69,1,0,0,26,0,29.4141,-105,125,224,74
14.212,27.9,232,62,69,1,0,0,26,0,29.4141,-105,125,224,74
15.606,27.9,232,62,69,1,0,0,26,0,29.4141,-105,125,224,74
17.581,27.9,232,62,69,1,0,0,26,0,29.4141,-105,125,224,74
19.386,27.9,232,62,69,1,0,0,26,0,29.4141,-105,125,224,74
21.116,27.9,232,62,69,1,0,0,26,0,29.4141,-105,125,224,74
