
"01-05-2014","22:34:46"
"TIME secs","ambient","ect","EIPT","MG1t","MG2t","INV1t","INV2t","temper","convt","HVBatIT","intaket1","intaket3","ICEt","BatDegCl","BatDegCh","Temp1","Temp2","Temp3","Temp4"
1.307,16,19.5,40,18,18,17,16,0,25,21.1917,16,19,19,19,20,23,25,25,23
2.699,16,19.5,40,18,18,17,16,0,25,21.1917,16,19,19,19,20,23,25,25,23
4.07,16,19.5,40,18,18,17,16,0,25,21.1782,16,19,19,19,20,23,25,25,23
5.761,16,19.5,40,18,18,17,16,0,25,21.1917,16,19,19,19,20,23,25,25,23
7.153,16,19.5,40,18,19,17,16,0,25,21.1917,16,19,19,19,20,23,25,25,23
8.665,16,19.5,40,18,18,17,16,0,25,21.1917,16,19,19,19,20,23,25,25,23
10.411,16,19.5,40,18,19,17,16,0,25,21.1917,16,19,19,19,20,23,25,25,23
12.223,16,19.5,40,18,18,17,16,0,25,21.1917,16,19,19,19,20,23,25,25,23
14.237,16,19.5,40,18,18,17,16,0,25,21.1917,16,19,19,19,20,23,25,25,23
15.633,16,19.5,40,18,19,17,16,0,25,21.1917,16,19,19,19,20,23,25,25,23
17.607,16,19.5,40,18,19,17,16,0,25,21.1917,16,19,19,19,20,23,25,25,23
19.413,16,19.5,40,18,19,17,16,0,25,21.1917,16,19,19,19,20,23,25,25,23
21.121,16,19.5,40,18,19,17,16,0,25,21.1917,16,19,19,19,20,23,25,25,23
