
"01-05-2014","22:34:46"
"TIME secs","HVAB volts","HVBB volts","Scw volts","Rpr %","Acp kW","HVpi kW","HVpo kW","ICE kw","BATTkw","Nettkw"
1.359,0,2,0,0,0,-40702,20800,0,0,0
2.745,0,2,0,0,0,-40702,20800,0,0,0
4.116,0,2,0,0,0,-40702,20800,0,0,0
5.807,0,2,0,0,0,-40702,20800,0,0,0
7.252,0,2,0,0,0,-40702,20800,0,0,0
8.67,0,2,0,0,0,-40702,20800,0,0,0
10.457,0,2,0,0,0,-40702,20800,0,0,0
12.269,0,2,0,0,0,-40702,20800,0,0,0
14.289,0,2,0,0,0,-40702,20800,0,0,0
15.679,0,2,0,0,0,-40702,20800,0,0,0
17.654,0,2,0,0,0,-40702,20800,0,0,0
19.514,0,2,0,0,0,-40702,20800,0,0,0
21.167,0,2,0,0,0,-40702,20800,0,0,0
